Date,Time,DateTime,N/U,Count,y,bad1,bad2,bad3,bad4
11/1/2018,08:58:33,11/1/2018 08:58:33,460,685,554,,,,
11/1/2018,08:58:33,11/1/2018 08:58:33,460,683,554,,,,
11/1/2018,08:58:34,11/1/2018 08:58:34,460,688,554,,,,
11/1/2018,08:58:34,11/1/2018 08:58:34,460,690,554,,,,
11/1/2018,08:58:35,11/1/2018 08:58:35,460,687,554,,,,
11/1/2018,08:58:35,11/1/2018 08:58:35,460,687,554,,,,
11/1/2018,08:58:36,11/1/2018 08:58:36,460,690,554,,,,
11/1/2018,08:58:37,11/1/2018 08:58:37,460,693,554,,,,
11/1/2018,08:58:37,11/1/2018 08:58:37,460,686,554,,,,
11/1/2018,09:08:38,11/1/2018 09:08:38,460,689,555,,,,
11/1/2018,09:08:38,11/1/2018 09:08:38,460,686,555,,,,
11/1/2018,09:08:39,11/1/2018 09:08:39,460,689,555,,,,
11/1/2018,09:08:39,11/1/2018 09:08:39,460,687,555,,,,
11/1/2018,09:08:40,11/1/2018 09:08:40,460,682,555,,,,
11/1/2018,09:08:40,11/1/2018 09:08:40,460,691,554,,,,
11/1/2018,09:08:41,11/1/2018 09:08:41,460,687,554,,,,
11/1/2018,09:08:41,11/1/2018 09:08:41,460,688,554,,,,
11/1/2018,09:08:42,11/1/2018 09:08:42,460,685,554,,,,
11/1/2018,09:08:42,11/1/2018 09:08:42,460,690,554,,,,
11/1/2018,09:08:43,11/1/2018 09:08:43,460,695,554,,,,
11/1/2018,09:08:43,11/1/2018 09:08:43,460,687,554,,,,
11/1/2018,09:08:44,11/1/2018 09:08:44,460,687,554,,,,
11/1/2018,09:08:45,11/1/2018 09:08:45,460,685,554,,,,
11/1/2018,09:08:45,11/1/2018 09:08:45,460,688,554,,,,
11/1/2018,09:18:46,11/1/2018 09:18:46,460,684,555,,,,
11/1/2018,09:18:46,11/1/2018 09:18:46,460,685,555,,,,
11/1/2018,09:18:47,11/1/2018 09:18:47,460,685,555,,,,
11/1/2018,09:18:47,11/1/2018 09:18:47,460,682,555,,,,
11/1/2018,09:18:48,11/1/2018 09:18:48,460,689,554,,,,
11/1/2018,09:18:48,11/1/2018 09:18:48,460,689,554,,,,
11/1/2018,09:18:49,11/1/2018 09:18:49,460,689,554,,,,
11/1/2018,09:18:49,11/1/2018 09:18:49,460,689,554,,,,
11/1/2018,09:18:50,11/1/2018 09:18:50,460,686,554,,,,
11/1/2018,09:18:50,11/1/2018 09:18:50,460,687,554,,,,
11/1/2018,09:18:51,11/1/2018 09:18:51,460,682,554,,,,
11/1/2018,09:18:51,11/1/2018 09:18:51,460,691,554,,,,
11/1/2018,09:18:52,11/1/2018 09:18:52,460,679,554,,,,
11/1/2018,09:18:53,11/1/2018 09:18:53,460,687,554,,,,
11/1/2018,09:18:53,11/1/2018 09:18:53,460,696,554,,,,
11/1/2018,09:28:54,11/1/2018 09:28:54,460,682,555,,,,
11/1/2018,09:28:54,11/1/2018 09:28:54,460,684,555,,,,
11/1/2018,09:28:55,11/1/2018 09:28:55,460,684,555,,,,
11/1/2018,09:28:55,11/1/2018 09:28:55,460,684,555,,,,
11/1/2018,09:28:56,11/1/2018 09:28:56,460,685,554,,,,
11/1/2018,09:28:56,11/1/2018 09:28:56,460,680,554,,,,
11/1/2018,09:28:57,11/1/2018 09:28:57,460,686,554,,,,
11/1/2018,09:28:57,11/1/2018 09:28:57,460,682,554,,,,
11/1/2018,09:28:58,11/1/2018 09:28:58,460,689,554,,,,
11/1/2018,09:28:58,11/1/2018 09:28:58,460,686,554,,,,
11/1/2018,09:28:59,11/1/2018 09:28:59,460,683,554,,,,
11/1/2018,09:28:59,11/1/2018 09:28:59,460,693,554,,,,
11/1/2018,09:29:00,11/1/2018 09:29:00,460,687,554,,,,
11/1/2018,09:29:01,11/1/2018 09:29:01,460,693,554,,,,
11/1/2018,09:29:01,11/1/2018 09:29:01,460,681,554,,,,
11/1/2018,09:39:02,11/1/2018 09:39:02,460,686,555,,,,
11/1/2018,09:39:02,11/1/2018 09:39:02,460,691,555,,,,
11/1/2018,09:39:03,11/1/2018 09:39:03,460,685,555,,,,
11/1/2018,09:39:03,11/1/2018 09:39:03,460,689,555,,,,
11/1/2018,09:39:04,11/1/2018 09:39:04,460,684,555,,,,
11/1/2018,09:39:04,11/1/2018 09:39:04,460,687,555,,,,
11/1/2018,09:39:05,11/1/2018 09:39:05,460,688,554,,,,
11/1/2018,09:39:05,11/1/2018 09:39:05,460,691,554,,,,
11/1/2018,09:39:06,11/1/2018 09:39:06,460,685,554,,,,
11/1/2018,09:39:06,11/1/2018 09:39:06,460,683,554,,,,
11/1/2018,09:39:07,11/1/2018 09:39:07,460,687,554,,,,
11/1/2018,09:39:07,11/1/2018 09:39:07,460,689,554,,,,
11/1/2018,09:39:08,11/1/2018 09:39:08,460,684,554,,,,
11/1/2018,09:39:09,11/1/2018 09:39:09,460,685,554,,,,
11/1/2018,09:39:09,11/1/2018 09:39:09,460,687,554,,,,
11/1/2018,09:49:10,11/1/2018 09:49:10,460,687,555,,,,
11/1/2018,09:49:10,11/1/2018 09:49:10,460,680,555,,,,
11/1/2018,09:49:11,11/1/2018 09:49:11,460,683,555,,,,
11/1/2018,09:49:11,11/1/2018 09:49:11,460,688,555,,,,
11/1/2018,09:49:12,11/1/2018 09:49:12,460,686,555,,,,
11/1/2018,09:49:12,11/1/2018 09:49:12,460,678,555,,,,
11/1/2018,09:49:13,11/1/2018 09:49:13,460,686,554,,,,
11/1/2018,09:49:13,11/1/2018 09:49:13,460,681,554,,,,
11/1/2018,09:49:14,11/1/2018 09:49:14,460,680,554,,,,
11/1/2018,09:49:14,11/1/2018 09:49:14,460,684,554,,,,
11/1/2018,09:49:15,11/1/2018 09:49:15,460,689,554,,,,
11/1/2018,09:49:15,11/1/2018 09:49:15,460,685,554,,,,
11/1/2018,09:49:16,11/1/2018 09:49:16,460,690,554,,,,
11/1/2018,09:49:17,11/1/2018 09:49:17,460,684,554,,,,
11/1/2018,09:49:17,11/1/2018 09:49:17,460,686,554,,,,
11/1/2018,09:59:18,11/1/2018 09:59:18,460,687,555,,,,
11/1/2018,09:59:18,11/1/2018 09:59:18,460,688,555,,,,
11/1/2018,09:59:19,11/1/2018 09:59:19,460,686,555,,,,
